partition	protID	trimmedLength	trimmedPercent	span	spanLength	spanPercent	refProtLength
Homo_sapiens_5249-5752	sp|Q8N1B4|VPS52_HUMAN	504	0.697	(66, 721)	655	0.906	723
Homo_sapiens_5753-5834	sp|P60002|ELOF1_HUMAN	80	0.964	(0, 83)	83	1.000	83
Homo_sapiens_5835-5994	sp|Q9Y399|RT02_HUMAN	160	0.541	(0, 259)	259	0.875	296
Homo_sapiens_5995-6119	sp|P0DI82|TPC2B_HUMAN	124	0.886	(2, 139)	137	0.979	140
Homo_sapiens_6120-6246	sp|Q9UM13|APC10_HUMAN	127	0.686	(21, 161)	140	0.757	185
Homo_sapiens_6247-6341	sp|P62942|FKB1A_HUMAN	94	0.870	(0, 106)	106	0.981	108
Homo_sapiens_6342-6564	sp|P54727|RD23B_HUMAN	223	0.545	(1, 406)	405	0.990	409
Homo_sapiens_6565-6720	sp|Q9BV57|MTND_HUMAN	153	0.855	(1, 174)	173	0.966	179
Homo_sapiens_6721-6848	sp|O95619|YETS4_HUMAN	127	0.559	(24, 222)	198	0.872	227
Homo_sapiens_6849-6993	sp|Q9Y3D8|KAD6_HUMAN	145	0.843	(9, 169)	160	0.930	172
Homo_sapiens_6994-7253	sp|Q6UXN9|WDR82_HUMAN	259	0.827	(0, 301)	301	0.962	313
Homo_sapiens_7254-7555	sp|Q9H6Q4|NARFL_HUMAN	302	0.634	(2, 476)	474	0.996	476
Homo_sapiens_7556-7789	sp|O43766|LIAS_HUMAN	234	0.629	(25, 357)	332	0.892	372
Homo_sapiens_7790-8369	sp|P18074|ERCC2_HUMAN	580	0.763	(4, 733)	729	0.959	760
Homo_sapiens_8370-8544	sp|Q15906|VPS72_HUMAN	174	0.478	(3, 337)	334	0.918	364
Homo_sapiens_8545-8629	sp|P61927|RL37_HUMAN	85	0.842	(0, 87)	87	0.861	101
Homo_sapiens_8630-9320	sp|P31939|PUR9_HUMAN	691	0.901	(0, 765)	765	0.997	767
Homo_sapiens_9321-9557	sp|P37837|TALDO_HUMAN	237	0.703	(21, 330)	309	0.917	337
Homo_sapiens_9558-9744	sp|P20226|TBP_HUMAN	185	0.546	(92, 338)	246	0.726	339
Homo_sapiens_9745-9906	sp|P49247|RPIA_HUMAN	162	0.521	(77, 290)	213	0.685	311
Homo_sapiens_9907-11001	sp|Q10570|CPSF1_HUMAN	1094	0.634	(0, 1717)	1717	0.995	1726
Homo_sapiens_11002-11254	sp|Q92600|CNOT9_HUMAN	251	0.839	(17, 283)	266	0.890	299
Homo_sapiens_11255-11601	sp|Q8NHQ9|DDX55_HUMAN	343	0.572	(26, 577)	551	0.918	600
Homo_sapiens_11602-12240	sp|Q96QK1|VPS35_HUMAN	639	0.803	(5, 794)	789	0.991	796
Homo_sapiens_12597-12808	sp|P22087|FBRL_HUMAN	212	0.660	(72, 313)	241	0.751	321
Homo_sapiens_12809-13360	sp|Q8NEB9|PK3C3_HUMAN	552	0.622	(2, 885)	883	0.995	887
Homo_sapiens_13361-14077	sp|Q9Y5B9|SP16H_HUMAN	715	0.683	(3, 999)	996	0.951	1047
Homo_sapiens_14078-14240	sp|P62487|RPB7_HUMAN	162	0.942	(4, 171)	167	0.971	172
Homo_sapiens_14241-14362	sp|P61009|SPCS3_HUMAN	122	0.678	(1, 176)	175	0.972	180
Homo_sapiens_14363-14528	sp|Q96FZ7|CHMP6_HUMAN	166	0.826	(1, 186)	185	0.920	201
Homo_sapiens_14529-14725	sp|P24863|CCNC_HUMAN	196	0.693	(1, 269)	268	0.947	283
Homo_sapiens_14726-14839	sp|O15116|LSM1_HUMAN	113	0.850	(4, 124)	120	0.902	133
Homo_sapiens_14840-14941	sp|Q9Y2Y1|RPC10_HUMAN	101	0.935	(0, 108)	108	1.000	108
Homo_sapiens_14942-15093	sp|P61758|PFD3_HUMAN	151	0.766	(18, 191)	173	0.878	197
Homo_sapiens_15094-15271	sp|Q6Y1H2|HACD2_HUMAN	178	0.701	(25, 247)	222	0.874	254
Homo_sapiens_15272-15429	sp|Q9ULW3|ABT1_HUMAN	158	0.581	(27, 255)	228	0.838	272
Homo_sapiens_15430-15592	sp|Q9BY32|ITPA_HUMAN	162	0.835	(5, 191)	186	0.959	194
Homo_sapiens_15593-15734	sp|P41223|BUD31_HUMAN	140	0.972	(0, 144)	144	1.000	144
Homo_sapiens_15735-16096	sp|Q8WWY3|PRP31_HUMAN	361	0.723	(0, 492)	492	0.986	499
Homo_sapiens_16097-16391	sp|P53602|MVD1_HUMAN	293	0.733	(9, 378)	369	0.922	400
Homo_sapiens_16392-16563	sp|Q9NV31|IMP3_HUMAN	172	0.935	(0, 183)	183	0.995	184
Homo_sapiens_16564-16792	sp|Q13868|EXOS2_HUMAN	228	0.778	(22, 288)	266	0.908	293
Homo_sapiens_16793-17024	sp|Q9H2P9|DPH5_HUMAN	231	0.811	(0, 273)	273	0.958	285
Homo_sapiens_17293-17705	sp|Q6IA86|ELP2_HUMAN	413	0.500	(29, 816)	787	0.953	826
Homo_sapiens_17706-18225	sp|P49589|SYCC_HUMAN	520	0.695	(25, 730)	705	0.943	748
Homo_sapiens_18226-19105	sp|P07814|SYEP_HUMAN	880	0.582	(35, 1447)	1412	0.934	1512
Homo_sapiens_19106-19166	sp|Q8N4Q1|MIA40_HUMAN	60	0.423	(44, 106)	62	0.437	142
Homo_sapiens_19167-19278	sp|P36954|RPB9_HUMAN	110	0.880	(3, 125)	122	0.976	125
Homo_sapiens_19279-19378	sp|O60869|EDF1_HUMAN	100	0.676	(18, 138)	120	0.811	148
Homo_sapiens_19379-19566	sp|Q96EK9|KTI12_HUMAN	188	0.531	(0, 352)	352	0.994	354
Homo_sapiens_19567-19726	sp|P53701|CCHL_HUMAN	156	0.582	(0, 263)	263	0.981	268
Homo_sapiens_19727-19855	sp|P62244|RS15A_HUMAN	128	0.985	(0, 130)	130	1.000	130
Homo_sapiens_19856-20328	sp|O43143|DHX15_HUMAN	473	0.595	(4, 789)	785	0.987	795
Homo_sapiens_20329-20673	sp|Q9Y4A5|TRRAP_HUMAN	345	0.089	(47, 3270)	3223	0.835	3859
Homo_sapiens_20674-21216	sp|O14802|RPC1_HUMAN	543	0.391	(14, 1355)	1341	0.965	1390
Homo_sapiens_21285-21507	sp|O96008|TOM40_HUMAN	221	0.612	(5, 358)	353	0.978	361
Homo_sapiens_21508-21667	sp|Q15545|TAF7_HUMAN	160	0.458	(11, 334)	323	0.926	349
Homo_sapiens_21668-21836	sp|Q96GG9|DCNL1_HUMAN	168	0.649	(7, 244)	237	0.915	259
Homo_sapiens_21837-21941	sp|Q16864|VATF_HUMAN	103	0.866	(2, 115)	113	0.950	119
Homo_sapiens_21942-22324	sp|Q13573|SNW1_HUMAN	383	0.715	(2, 507)	505	0.942	536
Homo_sapiens_22325-22505	sp|Q9UK41|VPS28_HUMAN	181	0.767	(14, 236)	222	0.941	236
Homo_sapiens_22506-22711	sp|Q9NT62|ATG3_HUMAN	205	0.653	(1, 312)	311	0.990	314
Homo_sapiens_22712-22833	sp|O15498|YKT6_HUMAN	122	0.616	(0, 188)	188	0.949	198
Homo_sapiens_22834-23017	sp|Q96GX9|MTNB_HUMAN	184	0.760	(19, 235)	216	0.893	242
Homo_sapiens_23018-23112	sp|Q9NY12|GAR1_HUMAN	93	0.429	(55, 184)	129	0.594	217
Homo_sapiens_23113-23673	sp|Q9HCS7|SYF1_HUMAN	561	0.656	(15, 853)	838	0.980	855
