partition	protID	trimmedLength	trimmedPercent	span	spanLength	spanPercent	refProtLength
Homo_sapiens_34603-34898	sp|Q8N8A6|DDX51_HUMAN	296	0.444	(5, 659)	654	0.981	667
Homo_sapiens_3449-4295	sp|P11498|PYC_HUMAN	847	0.719	(43, 1169)	1126	0.956	1178
Homo_sapiens_39048-39345	sp|Q96I59|SYNM_HUMAN	295	0.618	(42, 474)	432	0.906	477
Homo_sapiens_25044-26195	sp|Q5VYK3|ECM29_HUMAN	1145	0.621	(0, 1792)	1792	0.971	1845
Homo_sapiens_10499-11154	sp|Q14690|RRP5_HUMAN	654	0.350	(9, 1861)	1852	0.990	1871
Homo_sapiens_19483-19614	sp|P13984|T2FB_HUMAN	128	0.514	(20, 239)	219	0.880	249
Homo_sapiens_17462-18499	sp|P35573|GDE_HUMAN	1036	0.676	(8, 1525)	1517	0.990	1532
Homo_sapiens_67980-68364	sp|Q9BVK2|ALG8_HUMAN	385	0.732	(18, 516)	498	0.947	526
Homo_sapiens_52688-52830	sp|Q9NYZ1|TV23B_HUMAN	143	0.698	(7, 181)	174	0.849	205
Homo_sapiens_5912-6214	sp|Q92541|RTF1_HUMAN	286	0.403	(182, 710)	528	0.744	710
Homo_sapiens_20408-20582	sp|Q15906|VPS72_HUMAN	174	0.478	(3, 337)	334	0.918	364
Homo_sapiens_73249-73471	sp|O96008|TOM40_HUMAN	221	0.612	(5, 358)	353	0.978	361
Homo_sapiens_76221-76343	sp|P52298|NCBP2_HUMAN	123	0.788	(15, 152)	137	0.878	156
Homo_sapiens_71443-71985	sp|O14802|RPC1_HUMAN	543	0.391	(14, 1355)	1341	0.965	1390
Homo_sapiens_18500-18902	sp|P06744|G6PI_HUMAN	402	0.720	(36, 552)	516	0.925	558
Homo_sapiens_14203-14955	sp|O75694|NU155_HUMAN	752	0.541	(19, 1386)	1367	0.983	1391
Homo_sapiens_35859-36255	sp|O00400|ACATN_HUMAN	396	0.721	(67, 542)	475	0.865	549
Homo_sapiens_17228-17461	sp|O43766|LIAS_HUMAN	234	0.629	(25, 357)	332	0.892	372
Homo_sapiens_6841-7077	sp|Q9H3H1|MOD5_HUMAN	237	0.507	(0, 417)	417	0.893	467
Homo_sapiens_22683-22922	sp|Q5F1R6|DJC21_HUMAN	238	0.448	(8, 507)	499	0.940	531
Homo_sapiens_54990-55186	sp|P24863|CCNC_HUMAN	196	0.693	(1, 269)	268	0.947	283
Homo_sapiens_65488-65599	sp|P36954|RPB9_HUMAN	110	0.880	(3, 125)	122	0.976	125
Homo_sapiens_42479-42834	sp|P50579|MAP2_HUMAN	354	0.741	(76, 478)	402	0.841	478
Homo_sapiens_8851-9064	sp|Q5T2R2|DPS1_HUMAN	213	0.513	(98, 413)	315	0.759	415
Homo_sapiens_4815-4990	sp|Q92968|PEX13_HUMAN	173	0.429	(10, 334)	324	0.804	403
Homo_sapiens_35061-35346	sp|P49005|DPOD2_HUMAN	285	0.608	(28, 455)	427	0.910	469
Homo_sapiens_38771-39047	sp|Q969Y2|GTPB3_HUMAN	277	0.563	(31, 470)	439	0.892	492
Homo_sapiens_40281-40712	sp|Q9H9T3|ELP3_HUMAN	432	0.790	(8, 545)	537	0.982	547
Homo_sapiens_8417-8722	sp|P61962|DCAF7_HUMAN	303	0.886	(3, 342)	339	0.991	342
Homo_sapiens_31049-31193	sp|Q8WVC6|DCAKD_HUMAN	144	0.623	(1, 206)	205	0.887	231
Homo_sapiens_20668-21046	sp|Q9UJX6|ANC2_HUMAN	378	0.460	(151, 808)	657	0.799	822
Homo_sapiens_64997-65139	sp|Q96F25|ALG14_HUMAN	142	0.657	(10, 200)	190	0.880	216
Homo_sapiens_9738-10306	sp|Q13618|CUL3_HUMAN	569	0.741	(26, 766)	740	0.964	768
Homo_sapiens_50537-50812	sp|Q9NUD9|PIGV_HUMAN	274	0.556	(9, 491)	482	0.978	493
Homo_sapiens_77958-78052	sp|Q9NY12|GAR1_HUMAN	93	0.429	(55, 184)	129	0.594	217
Homo_sapiens_13552-13774	sp|P54727|RD23B_HUMAN	223	0.545	(1, 406)	405	0.990	409
Homo_sapiens_27594-28593	sp|P42356|PI4KA_HUMAN	997	0.474	(70, 2098)	2028	0.965	2102
Homo_sapiens_72990-73180	sp|Q12893|TM115_HUMAN	190	0.541	(0, 311)	311	0.886	351
Homo_sapiens_7226-7524	sp|Q13416|ORC2_HUMAN	299	0.518	(165, 573)	408	0.707	577
Homo_sapiens_65202-65292	sp|P32320|CDD_HUMAN	87	0.596	(16, 140)	124	0.849	146
Homo_sapiens_66842-67074	sp|Q8TBP6|S2540_HUMAN	232	0.686	(10, 324)	314	0.929	338
Homo_sapiens_77777-77957	sp|O43159|RRP8_HUMAN	181	0.397	(107, 432)	325	0.713	456
Homo_sapiens_6650-6840	sp|Q9BW85|CCD94_HUMAN	190	0.588	(1, 323)	322	0.997	323
Homo_sapiens_61941-62296	sp|P61158|ARP3_HUMAN	356	0.852	(19, 418)	399	0.955	418
Homo_sapiens_12507-12759	sp|Q969S0|S35B4_HUMAN	253	0.764	(2, 331)	329	0.994	331
Homo_sapiens_55485-55819	sp|Q15061|WDR43_HUMAN	335	0.495	(25, 611)	586	0.866	677
Homo_sapiens_50409-50536	sp|Q9NP73|ALG13_HUMAN	126	0.111	(0, 227)	227	0.200	1137
Homo_sapiens_51424-51607	sp|Q15428|SF3A2_HUMAN	182	0.392	(6, 216)	210	0.453	464
Homo_sapiens_33214-33349	sp|Q9Y3B8|ORN_HUMAN	135	0.570	(43, 216)	173	0.730	237
Homo_sapiens_57636-57804	sp|O95476|CNEP1_HUMAN	169	0.693	(3, 236)	233	0.955	244
Homo_sapiens_57239-57396	sp|Q9ULW3|ABT1_HUMAN	158	0.581	(27, 255)	228	0.838	272
Homo_sapiens_33027-33213	sp|P20226|TBP_HUMAN	185	0.546	(92, 338)	246	0.726	339
Homo_sapiens_41359-41609	sp|P04818|TYSY_HUMAN	243	0.776	(30, 304)	274	0.875	313
Homo_sapiens_55820-55921	sp|Q9Y2Y1|RPC10_HUMAN	101	0.935	(0, 108)	108	1.000	108
Homo_sapiens_71986-72561	sp|P33992|MCM5_HUMAN	576	0.785	(1, 720)	719	0.980	734
Homo_sapiens_55187-55370	sp|Q9Y570|PPME1_HUMAN	182	0.472	(4, 378)	374	0.969	386
Homo_sapiens_13456-13551	sp|P62942|FKB1A_HUMAN	94	0.870	(0, 106)	106	0.981	108
Homo_sapiens_997-1383	sp|Q9NV06|DCA13_HUMAN	386	0.867	(0, 438)	438	0.984	445
Homo_sapiens_60013-60241	sp|Q13868|EXOS2_HUMAN	228	0.778	(22, 288)	266	0.908	293
Homo_sapiens_12897-12978	sp|P60002|ELOF1_HUMAN	80	0.964	(0, 83)	83	1.000	83
Homo_sapiens_6352-6483	sp|Q9UHA3|RLP24_HUMAN	132	0.810	(0, 160)	160	0.982	163
Homo_sapiens_44083-44736	sp|Q9HD20|AT131_HUMAN	654	0.543	(108, 1204)	1096	0.910	1204
Homo_sapiens_47900-48614	sp|P55060|XPO2_HUMAN	714	0.735	(9, 958)	949	0.977	971
Homo_sapiens_68874-69669	sp|Q99570|PI3R4_HUMAN	791	0.582	(2, 1350)	1348	0.993	1358
Homo_sapiens_70238-70624	sp|P17980|PRS6A_HUMAN	386	0.879	(26, 424)	398	0.907	439
Homo_sapiens_75291-75429	sp|Q9Y5N5|HEMK2_HUMAN	138	0.645	(5, 213)	208	0.972	214
Homo_sapiens_46631-47182	sp|Q8NEB9|PK3C3_HUMAN	552	0.622	(2, 885)	883	0.995	887
Homo_sapiens_57969-58275	sp|Q15291|RBBP5_HUMAN	306	0.569	(15, 538)	523	0.972	538
Homo_sapiens_59105-59545	sp|Q9Y263|PLAP_HUMAN	441	0.555	(7, 757)	750	0.943	795
Homo_sapiens_36485-36660	sp|O76071|CIAO1_HUMAN	175	0.516	(17, 310)	293	0.864	339
Homo_sapiens_51608-51770	sp|P62487|RPB7_HUMAN	162	0.942	(4, 171)	167	0.971	172
Homo_sapiens_73602-73762	sp|Q15545|TAF7_HUMAN	160	0.458	(11, 334)	323	0.926	349
Homo_sapiens_29314-30121	sp|Q92620|PRP16_HUMAN	807	0.658	(23, 1160)	1137	0.927	1227
Homo_sapiens_37777-38077	sp|Q9UK59|DBR1_HUMAN	297	0.546	(2, 434)	432	0.794	544
Homo_sapiens_78053-78305	sp|Q9UGM6|SYWM_HUMAN	253	0.703	(30, 358)	328	0.911	360
Homo_sapiens_37470-37776	sp|O15530|PDPK1_HUMAN	306	0.550	(72, 546)	474	0.853	556
Homo_sapiens_19615-19924	sp|Q9H993|ARMT1_HUMAN	310	0.703	(14, 437)	423	0.959	441
Homo_sapiens_35633-35858	sp|Q96H96|COQ2_HUMAN	220	0.593	(0, 352)	352	0.949	371
Homo_sapiens_65140-65201	sp|Q8N4Q1|MIA40_HUMAN	60	0.423	(44, 106)	62	0.437	142
Homo_sapiens_57805-57968	sp|Q9BY32|ITPA_HUMAN	162	0.835	(5, 191)	186	0.959	194
Homo_sapiens_62817-63592	sp|Q92878|RAD50_HUMAN	776	0.591	(5, 1292)	1287	0.981	1312
Homo_sapiens_57397-57635	sp|Q96S15|WDR24_HUMAN	239	0.260	(0, 918)	918	0.998	920
Homo_sapiens_5287-5755	sp|Q6P3W7|SCYL2_HUMAN	466	0.502	(3, 929)	926	0.997	929
Homo_sapiens_66645-66841	sp|Q8IW45|NNRD_HUMAN	196	0.554	(63, 354)	291	0.822	354
Homo_sapiens_23197-23770	sp|O94906|PRP6_HUMAN	574	0.610	(6, 936)	930	0.988	941
Homo_sapiens_24263-24806	sp|P51530|DNA2_HUMAN	536	0.506	(42, 1017)	975	0.920	1060
Homo_sapiens_32764-33026	sp|P40938|RFC3_HUMAN	263	0.739	(2, 346)	344	0.966	356
Homo_sapiens_6484-6649	sp|Q9BY50|SC11C_HUMAN	164	0.854	(18, 190)	172	0.896	192
Homo_sapiens_5756-5830	sp|Q9BZL1|UBL5_HUMAN	73	1.000	(0, 73)	73	1.000	73
Homo_sapiens_48615-48993	sp|P62333|PRS10_HUMAN	378	0.972	(2, 386)	384	0.987	389
Homo_sapiens_44737-45745	sp|O14841|OPLA_HUMAN	1007	0.782	(6, 1254)	1248	0.969	1288
Homo_sapiens_31456-31776	sp|Q92696|PGTA_HUMAN	321	0.566	(1, 500)	499	0.880	567
Homo_sapiens_11846-11899	sp|Q9NPE3|NOP10_HUMAN	54	0.844	(0, 62)	62	0.969	64
Homo_sapiens_55371-55484	sp|O15116|LSM1_HUMAN	113	0.850	(4, 124)	120	0.902	133
Homo_sapiens_59546-59840	sp|P53602|MVD1_HUMAN	293	0.733	(9, 378)	369	0.922	400
Homo_sapiens_26999-27593	sp|Q8TCJ2|STT3B_HUMAN	595	0.720	(63, 811)	748	0.906	826
Homo_sapiens_7990-8160	sp|O15258|RER1_HUMAN	171	0.872	(9, 185)	176	0.898	196
Homo_sapiens_67204-67415	sp|Q9Y5K8|VATD_HUMAN	211	0.854	(4, 245)	241	0.976	247
Homo_sapiens_2118-2720	sp|P54098|DPOG1_HUMAN	603	0.487	(71, 1221)	1150	0.928	1239
Homo_sapiens_65293-65487	sp|P29083|T2EA_HUMAN	194	0.442	(1, 406)	405	0.923	439
Homo_sapiens_20583-20667	sp|P61927|RL37_HUMAN	85	0.842	(0, 87)	87	0.861	101
Homo_sapiens_6215-6351	sp|Q8IUR0|TPPC5_HUMAN	137	0.729	(11, 186)	175	0.931	188
Homo_sapiens_32429-32763	sp|Q5BKT4|AG10A_HUMAN	335	0.708	(13, 463)	450	0.951	473
Homo_sapiens_67075-67203	sp|P62244|RS15A_HUMAN	128	0.985	(0, 130)	130	1.000	130
Homo_sapiens_76980-77164	sp|Q96GX9|MTNB_HUMAN	184	0.760	(19, 235)	216	0.893	242
Homo_sapiens_21257-21668	sp|Q96AA3|RFT1_HUMAN	412	0.762	(4, 541)	537	0.993	541
Homo_sapiens_8161-8416	sp|P49642|PRI1_HUMAN	256	0.610	(13, 414)	401	0.955	420
Homo_sapiens_40713-41358	sp|P28340|DPOD1_HUMAN	646	0.584	(12, 1100)	1088	0.983	1107
Homo_sapiens_69670-70237	sp|A8MPP1|D11L8_HUMAN	551	0.607	(26, 878)	852	0.939	907
Homo_sapiens_49992-50408	sp|P19447|ERCC3_HUMAN	417	0.533	(0, 749)	749	0.958	782
Homo_sapiens_60242-60473	sp|Q9H2P9|DPH5_HUMAN	231	0.811	(0, 273)	273	0.958	285
Homo_sapiens_30703-31048	sp|Q9BQ70|TCF25_HUMAN	346	0.512	(95, 650)	555	0.821	676
Homo_sapiens_16169-16470	sp|Q9H6Q4|NARFL_HUMAN	302	0.634	(2, 476)	474	0.996	476
Homo_sapiens_10307-10498	sp|O95620|DUS4L_HUMAN	190	0.599	(29, 312)	283	0.893	317
Homo_sapiens_13391-13455	sp|P62875|RPAB5_HUMAN	65	0.970	(0, 65)	65	0.970	67
Homo_sapiens_73932-74062	sp|Q8N954|GPT11_HUMAN	131	0.506	(2, 247)	245	0.946	259
Homo_sapiens_67416-67698	sp|P49643|PRI2_HUMAN	281	0.552	(2, 477)	475	0.933	509
Homo_sapiens_7078-7225	sp|P61599|NAA20_HUMAN	146	0.820	(1, 178)	177	0.994	178
Homo_sapiens_60474-60742	sp|Q6P1R4|DUS1L_HUMAN	266	0.562	(6, 426)	420	0.888	473
Homo_sapiens_4296-4814	sp|O60524|NEMF_HUMAN	518	0.481	(7, 1012)	1005	0.934	1076
Homo_sapiens_74607-74989	sp|Q13573|SNW1_HUMAN	383	0.715	(2, 507)	505	0.942	536
Homo_sapiens_38078-38770	sp|Q15021|CND1_HUMAN	693	0.495	(25, 1334)	1309	0.934	1401
Homo_sapiens_75611-75743	sp|Q587I9|SFT2C_HUMAN	132	0.614	(0, 206)	206	0.958	215
Homo_sapiens_76677-76798	sp|O15498|YKT6_HUMAN	122	0.616	(0, 188)	188	0.949	198
Homo_sapiens_33833-34602	sp|Q8NI27|THOC2_HUMAN	742	0.466	(90, 1569)	1479	0.928	1593
Homo_sapiens_26504-26998	sp|O95352|ATG7_HUMAN	493	0.701	(19, 702)	683	0.972	703
Homo_sapiens_61156-61940	sp|Q7Z3U7|MON2_HUMAN	785	0.457	(12, 1701)	1689	0.984	1717
Homo_sapiens_77165-77776	sp|Q9H6R4|NOL6_HUMAN	612	0.534	(57, 1140)	1083	0.945	1146
Homo_sapiens_78306-78866	sp|Q9HCS7|SYF1_HUMAN	561	0.656	(15, 853)	838	0.980	855
Homo_sapiens_53877-54241	sp|O43292|GPAA1_HUMAN	365	0.588	(19, 618)	599	0.965	621
Homo_sapiens_28594-29313	sp|P22102|PUR2_HUMAN	720	0.713	(2, 993)	991	0.981	1010
Homo_sapiens_39599-39933	sp|Q9NXH9|TRM1_HUMAN	335	0.508	(74, 608)	534	0.810	659
Homo_sapiens_21047-21256	sp|Q9NPF5|DMAP1_HUMAN	207	0.443	(54, 465)	411	0.880	467
Homo_sapiens_51955-52077	sp|P61009|SPCS3_HUMAN	122	0.678	(1, 176)	175	0.972	180
Homo_sapiens_21669-21848	sp|Q96AT9|RPE_HUMAN	180	0.789	(10, 219)	209	0.917	228
Homo_sapiens_24807-25043	sp|P37837|TALDO_HUMAN	237	0.703	(21, 330)	309	0.917	337
Homo_sapiens_68365-68873	sp|Q92889|XPF_HUMAN	508	0.555	(31, 904)	873	0.953	916
Homo_sapiens_11690-11845	sp|O14530|TXND9_HUMAN	156	0.690	(21, 226)	205	0.907	226
Homo_sapiens_11900-12002	sp|P61803|DAD1_HUMAN	103	0.912	(6, 113)	107	0.947	113
Homo_sapiens_35347-35632	sp|Q2M2I8|AAK1_HUMAN	281	0.291	(29, 754)	725	0.751	965
Homo_sapiens_23054-23196	sp|Q9Y2X8|UB2D4_HUMAN	143	0.973	(2, 147)	145	0.986	147
Homo_sapiens_76799-76979	sp|O75792|RNH2A_HUMAN	181	0.605	(9, 297)	288	0.963	299
Homo_sapiens_52831-53046	sp|P51946|CCNH_HUMAN	216	0.669	(0, 315)	315	0.975	323
Homo_sapiens_31194-31455	sp|Q9H490|PIGU_HUMAN	262	0.602	(8, 433)	425	0.977	435
Homo_sapiens_51207-51423	sp|Q96BZ9|TBC20_HUMAN	217	0.538	(25, 381)	356	0.883	403
Homo_sapiens_13264-13390	sp|Q9UM13|APC10_HUMAN	127	0.686	(21, 161)	140	0.757	185
Homo_sapiens_54571-54873	sp|Q6NXT6|TAPT1_HUMAN	300	0.529	(68, 560)	492	0.868	567
Homo_sapiens_80222-81006	sp|Q07864|DPOE1_HUMAN	785	0.343	(32, 2148)	2116	0.926	2286
Homo_sapiens_70625-71097	sp|O43143|DHX15_HUMAN	473	0.595	(4, 789)	785	0.987	795
Homo_sapiens_52522-52687	sp|Q96FZ7|CHMP6_HUMAN	166	0.826	(1, 186)	185	0.920	201
Homo_sapiens_53047-53282	sp|Q96FM1|PGAP3_HUMAN	236	0.738	(8, 312)	304	0.950	320
Homo_sapiens_13775-14046	sp|Q8N1G1|REXO1_HUMAN	271	0.222	(781, 1212)	431	0.353	1221
Homo_sapiens_30122-30424	sp|P22570|ADRO_HUMAN	303	0.617	(28, 483)	455	0.927	491
Homo_sapiens_12760-12896	sp|P49914|MTHFS_HUMAN	137	0.675	(3, 198)	195	0.961	203
Homo_sapiens_66007-66296	sp|P56282|DPOE2_HUMAN	290	0.550	(16, 497)	481	0.913	527
Homo_sapiens_75744-75949	sp|Q9NT62|ATG3_HUMAN	205	0.653	(1, 312)	311	0.990	314
Homo_sapiens_72562-72906	sp|Q8TF42|UBS3B_HUMAN	344	0.530	(34, 632)	598	0.921	649
Homo_sapiens_66297-66484	sp|Q96EK9|KTI12_HUMAN	188	0.531	(0, 352)	352	0.994	354
Homo_sapiens_54242-54418	sp|P29084|T2EB_HUMAN	174	0.598	(5, 287)	282	0.969	291
Homo_sapiens_54874-54989	sp|P33316|DUT_HUMAN	115	0.456	(109, 251)	142	0.563	252
Homo_sapiens_74063-74501	sp|Q5VZE5|NAA35_HUMAN	438	0.604	(27, 723)	696	0.960	725
Homo_sapiens_31777-31976	sp|Q70CQ3|UBP30_HUMAN	199	0.385	(42, 502)	460	0.890	517
Homo_sapiens_76344-76676	sp|Q969N2|PIGT_HUMAN	332	0.574	(25, 574)	549	0.950	578
Homo_sapiens_73763-73931	sp|Q96GG9|DCNL1_HUMAN	168	0.649	(7, 244)	237	0.915	259
Homo_sapiens_15909-16168	sp|Q6UXN9|WDR82_HUMAN	259	0.827	(0, 301)	301	0.962	313
Homo_sapiens_9065-9403	sp|Q9NP81|SYSM_HUMAN	338	0.653	(4, 483)	479	0.925	518
Homo_sapiens_19925-20093	sp|Q9Y388|RBMX2_HUMAN	168	0.522	(2, 272)	270	0.839	322
Homo_sapiens_30425-30702	sp|Q15813|TBCE_HUMAN	278	0.528	(8, 522)	514	0.975	527
Homo_sapiens_237-996	sp|P23378|GCSP_HUMAN	755	0.740	(57, 1000)	943	0.925	1020
