partition	protID	trimmedLength	trimmedPercent	span	spanLength	spanPercent	refProtLength
Homo_sapiens_24055-24329	sp|Q9H490|PIGU_HUMAN	274	0.630	(10, 433)	423	0.972	435
Homo_sapiens_24330-24558	sp|O75716|STK16_HUMAN	224	0.734	(12, 289)	277	0.908	305
Homo_sapiens_24559-24886	sp|Q92696|PGTA_HUMAN	328	0.578	(2, 561)	559	0.986	567
Homo_sapiens_24887-25104	sp|Q9P0I2|EMC3_HUMAN	217	0.831	(6, 244)	238	0.912	261
Homo_sapiens_25105-25287	sp|Q9UBQ0|VPS29_HUMAN	179	0.978	(0, 183)	183	1.000	183
Homo_sapiens_25288-25598	sp|Q7Z4G4|TRM11_HUMAN	311	0.672	(12, 445)	433	0.935	463
Homo_sapiens_25599-26387	sp|Q9P2I0|CPSF2_HUMAN	787	0.767	(2, 1026)	1024	0.998	1026
Homo_sapiens_26388-26550	sp|Q13907|IDI1_HUMAN	161	0.709	(25, 227)	202	0.890	227
Homo_sapiens_26551-26889	sp|P11172|UMPS_HUMAN	338	0.704	(9, 477)	468	0.975	480
Homo_sapiens_26890-27324	sp|Q8N1F7|NUP93_HUMAN	434	0.530	(93, 818)	725	0.885	819
Homo_sapiens_27325-27679	sp|Q8N8A6|DDX51_HUMAN	355	0.533	(69, 658)	589	0.884	666
Homo_sapiens_27680-27870	sp|P49247|RPIA_HUMAN	191	0.614	(74, 307)	233	0.749	311
Homo_sapiens_27871-28038	sp|O43617|TPPC3_HUMAN	167	0.928	(9, 180)	171	0.950	180
Homo_sapiens_28039-29053	sp|O14744|ANM5_HUMAN	1013	0.851	(0, 1190)	1190	1.000	1190
Homo_sapiens_29054-29946	sp|Q10570|CPSF1_HUMAN	893	0.619	(73, 1443)	1370	0.949	1443
Homo_sapiens_29947-30178	sp|Q96EB6|SIR1_HUMAN	232	0.311	(187, 680)	493	0.660	747
Homo_sapiens_30179-30553	sp|Q96D46|NMD3_HUMAN	374	0.744	(9, 488)	479	0.952	503
Homo_sapiens_30554-31065	sp|Q8WVB6|CTF18_HUMAN	505	0.518	(166, 973)	807	0.828	975
Homo_sapiens_31066-31291	sp|P25788|PSA3_HUMAN	226	0.886	(9, 253)	244	0.957	255
Homo_sapiens_31292-31481	sp|Q9NRX1|PNO1_HUMAN	189	0.750	(51, 251)	200	0.794	252
Homo_sapiens_31482-31895	sp|P08240|SRPRA_HUMAN	413	0.647	(9, 638)	629	0.986	638
Homo_sapiens_31896-32199	sp|Q9UK59|DBR1_HUMAN	303	0.557	(2, 526)	524	0.963	544
Homo_sapiens_32200-32857	sp|Q15021|CND1_HUMAN	657	0.469	(184, 1328)	1144	0.817	1401
Homo_sapiens_32858-33106	sp|P35232|PHB_HUMAN	249	0.915	(2, 271)	269	0.989	272
Homo_sapiens_33107-33441	sp|Q9H3H5|GPT_HUMAN	335	0.821	(8, 403)	395	0.968	408
Homo_sapiens_33442-33700	sp|Q92600|CNOT9_HUMAN	257	0.860	(13, 284)	271	0.906	299
Homo_sapiens_33701-34152	sp|Q9NTJ5|SAC1_HUMAN	452	0.770	(5, 582)	577	0.983	587
Homo_sapiens_34153-34532	sp|O00232|PSD12_HUMAN	379	0.831	(15, 451)	436	0.956	456
Homo_sapiens_34533-34873	sp|P17174|AATC_HUMAN	340	0.823	(6, 413)	407	0.985	413
Homo_sapiens_34874-35356	sp|Q9H9T3|ELP3_HUMAN	483	0.883	(11, 545)	534	0.976	547
Homo_sapiens_35357-35658	sp|P35250|RFC2_HUMAN	299	0.845	(22, 350)	328	0.927	354
Homo_sapiens_35659-35881	sp|P22087|FBRL_HUMAN	223	0.695	(75, 316)	241	0.751	321
Homo_sapiens_35882-36174	sp|P54646|AAPK2_HUMAN	293	0.531	(20, 550)	530	0.960	552
Homo_sapiens_36175-36794	sp|O95163|ELP1_HUMAN	619	0.465	(136, 1281)	1145	0.860	1332
Homo_sapiens_36795-37562	sp|Q9HD20|AT131_HUMAN	768	0.638	(115, 1204)	1089	0.904	1204
Homo_sapiens_37563-38209	sp|P55072|TERA_HUMAN	647	0.803	(9, 766)	757	0.939	806
Homo_sapiens_38210-38840	sp|Q8NEB9|PK3C3_HUMAN	630	0.710	(7, 878)	871	0.982	887
Homo_sapiens_38841-39153	sp|Q9Y697|NFS1_HUMAN	313	0.685	(48, 454)	406	0.888	457
Homo_sapiens_39154-39536	sp|O60832|DKC1_HUMAN	382	0.743	(27, 505)	478	0.930	514
Homo_sapiens_39537-40123	sp|P25205|MCM3_HUMAN	587	0.726	(8, 800)	792	0.980	808
Homo_sapiens_40124-40733	sp|Q14566|MCM6_HUMAN	610	0.743	(19, 790)	771	0.939	821
Homo_sapiens_40734-41178	sp|Q15046|SYK_HUMAN	445	0.745	(0, 576)	576	0.965	597
Homo_sapiens_41179-41703	sp|P19447|ERCC3_HUMAN	525	0.671	(37, 761)	724	0.926	782
Homo_sapiens_41704-41796	sp|Q15543|TAF13_HUMAN	92	0.742	(25, 122)	97	0.782	124
Homo_sapiens_41797-42051	sp|Q9BRD0|BUD13_HUMAN	247	0.399	(7, 616)	609	0.984	619
Homo_sapiens_42052-42190	sp|Q9UMY4|SNX12_HUMAN	138	0.802	(4, 159)	155	0.901	172
Homo_sapiens_42191-42319	sp|Q9NP73|ALG13_HUMAN	128	0.113	(1, 693)	692	0.609	1137
Homo_sapiens_42320-42448	sp|Q9HBM6|TAF9B_HUMAN	124	0.494	(16, 241)	225	0.896	251
Homo_sapiens_42449-42701	sp|Q12792|TWF1_HUMAN	253	0.723	(10, 340)	330	0.943	350
Homo_sapiens_42702-42859	sp|O43513|MED7_HUMAN	158	0.678	(3, 228)	225	0.966	233
Homo_sapiens_42860-43014	sp|Q9Y5M8|SRPRB_HUMAN	155	0.572	(37, 268)	231	0.852	271
Homo_sapiens_43015-43319	sp|Q7Z3B4|NUP54_HUMAN	304	0.600	(113, 500)	387	0.763	507
Homo_sapiens_43320-43474	sp|P62487|RPB7_HUMAN	154	0.895	(0, 172)	172	1.000	172
Homo_sapiens_43475-43669	sp|Q53HI1|UNC50_HUMAN	195	0.753	(22, 258)	236	0.911	259
Homo_sapiens_43670-44144	sp|P78318|IGBP1_HUMAN	475	0.859	(0, 551)	551	0.996	553
Homo_sapiens_44145-44320	sp|P29084|T2EB_HUMAN	175	0.601	(5, 285)	280	0.962	291
Homo_sapiens_44321-44448	sp|Q9BRT9|SLD5_HUMAN	128	0.574	(20, 223)	203	0.910	223
Homo_sapiens_44449-44549	sp|Q9Y4Z0|LSM4_HUMAN	89	0.640	(4, 109)	105	0.755	139
Homo_sapiens_44550-44886	sp|Q6NXT6|TAPT1_HUMAN	336	0.593	(65, 558)	493	0.869	567
Homo_sapiens_44887-45030	sp|P33316|DUT_HUMAN	130	0.516	(111, 252)	141	0.560	252
Homo_sapiens_45031-45261	sp|Q9NUM3|S39A9_HUMAN	217	0.707	(4, 305)	301	0.980	307
Homo_sapiens_45262-45376	sp|O15116|LSM1_HUMAN	114	0.857	(0, 125)	125	0.940	133
Homo_sapiens_45377-45476	sp|Q9Y2Y1|RPC10_HUMAN	99	0.917	(0, 108)	108	1.000	108
Homo_sapiens_45477-45630	sp|P61758|PFD3_HUMAN	154	0.782	(22, 191)	169	0.858	197
Homo_sapiens_45631-45907	sp|Q9UJA5|TRM6_HUMAN	277	0.557	(18, 470)	452	0.909	497
Homo_sapiens_45908-46086	sp|Q6Y1H2|HACD2_HUMAN	179	0.705	(37, 246)	209	0.823	254
Homo_sapiens_46087-46322	sp|Q9H2D1|MFTC_HUMAN	236	0.749	(16, 304)	288	0.914	315
Homo_sapiens_46323-46481	sp|Q9ULW3|ABT1_HUMAN	159	0.585	(44, 251)	207	0.761	272
Homo_sapiens_46482-46585	sp|P99999|CYC_HUMAN	100	0.952	(0, 100)	100	0.952	105
Homo_sapiens_46586-46924	sp|O95476|CNEP1_HUMAN	333	0.905	(5, 368)	363	0.986	368
Homo_sapiens_46925-47212	sp|Q00325|MPCP_HUMAN	286	0.790	(9, 360)	351	0.970	362
Homo_sapiens_47213-47477	sp|P61964|WDR5_HUMAN	264	0.790	(24, 332)	308	0.922	334
Homo_sapiens_47478-47943	sp|Q9Y263|PLAP_HUMAN	466	0.586	(8, 765)	757	0.952	795
Homo_sapiens_47944-48316	sp|P54578|UBP14_HUMAN	369	0.747	(6, 490)	484	0.980	494
Homo_sapiens_48317-48493	sp|Q9NV31|IMP3_HUMAN	177	0.962	(0, 183)	183	0.995	184
Homo_sapiens_48494-48743	sp|P55036|PSMD4_HUMAN	243	0.645	(2, 377)	375	0.995	377
Homo_sapiens_48744-48981	sp|Q13868|EXOS2_HUMAN	236	0.805	(6, 293)	287	0.980	293
Homo_sapiens_48982-49356	sp|Q10713|MPPA_HUMAN	373	0.710	(61, 523)	462	0.880	525
Homo_sapiens_49357-49678	sp|Q13895|BYST_HUMAN	321	0.735	(2, 433)	431	0.986	437
Homo_sapiens_49679-49950	sp|O15160|RPAC1_HUMAN	272	0.786	(7, 343)	336	0.971	346
Homo_sapiens_49951-50246	sp|O43681|ASNA_HUMAN	284	0.816	(26, 348)	322	0.925	348
Homo_sapiens_50247-50516	sp|Q9UET6|TRM7_HUMAN	270	0.821	(2, 329)	327	0.994	329
Homo_sapiens_50517-50764	sp|P46777|RL5_HUMAN	247	0.832	(2, 290)	288	0.970	297
Homo_sapiens_50765-51210	sp|Q6IA86|ELP2_HUMAN	445	0.539	(86, 822)	736	0.891	826
Homo_sapiens_51211-52008	sp|P49588|SYAC_HUMAN	797	0.823	(7, 956)	949	0.980	968
Homo_sapiens_52009-52395	sp|P62195|PRS8_HUMAN	379	0.933	(2, 399)	397	0.978	406
Homo_sapiens_52396-52489	sp|P61513|RL37A_HUMAN	90	0.978	(0, 90)	90	0.978	92
Homo_sapiens_52490-52644	sp|Q96F25|ALG14_HUMAN	154	0.713	(5, 216)	211	0.977	216
Homo_sapiens_52645-52715	sp|Q8N4Q1|MIA40_HUMAN	65	0.458	(41, 111)	70	0.493	142
Homo_sapiens_52716-53107	sp|O75419|CDC45_HUMAN	392	0.693	(7, 565)	558	0.986	566
Homo_sapiens_53108-53409	sp|Q13057|COASY_HUMAN	295	0.523	(0, 556)	556	0.986	564
Homo_sapiens_53410-53572	sp|Q9Y4X0|AMMR1_HUMAN	162	0.486	(121, 311)	190	0.571	333
Homo_sapiens_53573-53775	sp|P29083|T2EA_HUMAN	202	0.460	(11, 406)	395	0.900	439
Homo_sapiens_53776-53884	sp|P36954|RPB9_HUMAN	108	0.864	(5, 125)	120	0.960	125
Homo_sapiens_53885-54281	sp|Q12874|SF3A3_HUMAN	396	0.790	(2, 501)	499	0.996	501
Homo_sapiens_54282-54550	sp|O43615|TIM44_HUMAN	268	0.593	(55, 444)	389	0.861	452
Homo_sapiens_54551-54768	sp|Q96EK9|KTI12_HUMAN	218	0.616	(0, 352)	352	0.994	354
Homo_sapiens_54769-55035	sp|Q969S3|ZN622_HUMAN	267	0.560	(7, 475)	468	0.981	477
Homo_sapiens_55036-55589	sp|P21675|TAF1_HUMAN	554	0.296	(401, 1472)	1071	0.572	1872
Homo_sapiens_55590-55760	sp|Q99437|VATO_HUMAN	170	0.829	(3, 204)	201	0.980	205
Homo_sapiens_55761-56074	sp|P34949|MPI_HUMAN	314	0.742	(4, 422)	418	0.988	423
Homo_sapiens_56075-56719	sp|Q9H9S3|S61A2_HUMAN	645	0.944	(2, 683)	681	0.997	683
Homo_sapiens_56720-57195	sp|Q8WVM8|SCFD1_HUMAN	476	0.741	(13, 628)	615	0.958	642
Homo_sapiens_57196-57864	sp|Q99570|PI3R4_HUMAN	669	0.493	(50, 1356)	1306	0.962	1358
Homo_sapiens_57865-58261	sp|Q9Y2X3|NOP58_HUMAN	394	0.745	(12, 525)	513	0.970	529
Homo_sapiens_58262-59977	sp|O75643|U520_HUMAN	1716	0.773	(103, 2219)	2116	0.954	2219
Homo_sapiens_59978-60162	sp|Q15545|TAF7_HUMAN	183	0.524	(10, 335)	325	0.931	349
Homo_sapiens_60163-60341	sp|Q96GG9|DCNL1_HUMAN	179	0.691	(23, 247)	224	0.865	259
Homo_sapiens_60342-60453	sp|Q16864|VATF_HUMAN	112	0.941	(1, 118)	117	0.983	119
Homo_sapiens_60454-60683	sp|O60762|DPM1_HUMAN	229	0.881	(22, 259)	237	0.912	260
Homo_sapiens_60684-60856	sp|Q15363|TMED2_HUMAN	173	0.861	(6, 201)	195	0.970	201
Homo_sapiens_60857-60990	sp|Q9BVG4|PBDC1_HUMAN	134	0.575	(29, 177)	148	0.635	233
Homo_sapiens_60991-61364	sp|Q13573|SNW1_HUMAN	373	0.696	(2, 536)	534	0.996	536
Homo_sapiens_61365-61496	sp|Q9NZJ6|COQ3_HUMAN	132	0.358	(75, 332)	257	0.696	369
Homo_sapiens_61497-61656	sp|Q9Y5N5|HEMK2_HUMAN	158	0.738	(4, 214)	210	0.981	214
Homo_sapiens_61657-61791	sp|Q587I9|SFT2C_HUMAN	131	0.609	(65, 213)	148	0.688	215
Homo_sapiens_61792-62052	sp|Q9BZE2|PUS3_HUMAN	260	0.541	(14, 367)	353	0.734	481
Homo_sapiens_62053-62352	sp|Q92903|CDS1_HUMAN	297	0.644	(79, 454)	375	0.813	461
Homo_sapiens_62353-62488	sp|P52298|NCBP2_HUMAN	133	0.853	(7, 154)	147	0.942	156
Homo_sapiens_62489-62790	sp|Q14457|BECN1_HUMAN	301	0.669	(9, 446)	437	0.971	450
Homo_sapiens_62791-63022	sp|Q8WWL7|CCNB3_HUMAN	231	0.166	(12, 1377)	1365	0.978	1395
Homo_sapiens_63023-63148	sp|O15498|YKT6_HUMAN	124	0.626	(1, 192)	191	0.965	198
Homo_sapiens_63149-63365	sp|O75792|RNH2A_HUMAN	215	0.719	(6, 292)	286	0.957	299
Homo_sapiens_63366-63846	sp|Q9H6R4|NOL6_HUMAN	481	0.420	(160, 1135)	975	0.851	1146
Homo_sapiens_63847-63978	sp|Q9NY12|GAR1_HUMAN	124	0.571	(44, 200)	156	0.719	217
Homo_sapiens_63979-64334	sp|O00566|MPP10_HUMAN	354	0.520	(33, 681)	648	0.952	681
Homo_sapiens_64335-64473	sp|P62266|RS23_HUMAN	139	0.972	(0, 140)	140	0.979	143
Homo_sapiens_64474-64651	sp|Q9Y221|NIP7_HUMAN	177	0.983	(0, 179)	179	0.994	180
Homo_sapiens_64652-65033	sp|O43242|PSMD3_HUMAN	382	0.715	(63, 527)	464	0.869	534
Homo_sapiens_65034-65587	sp|Q08AM6|VAC14_HUMAN	553	0.707	(9, 768)	759	0.971	782
Homo_sapiens_65588-65894	sp|Q9UM11|FZR1_HUMAN	307	0.619	(72, 485)	413	0.833	496
Homo_sapiens_65895-66204	sp|P37287|PIGA_HUMAN	308	0.636	(46, 457)	411	0.849	484
Homo_sapiens_66205-66544	sp|P55039|DRG2_HUMAN	340	0.934	(2, 364)	362	0.995	364
Homo_sapiens_66545-67106	sp|P43304|GPDM_HUMAN	560	0.770	(42, 725)	683	0.939	727
Homo_sapiens_67107-67660	sp|Q92562|FIG4_HUMAN	552	0.609	(24, 903)	879	0.969	907
Homo_sapiens_67661-68062	sp|P15170|ERF3A_HUMAN	399	0.800	(39, 492)	453	0.908	499
