partition	protID	trimmedLength	trimmedPercent	span	spanLength	spanPercent	refProtLength
Homo_157803-158112	sp|O00487|PSDE_HUMAN	309	0.997	(0, 309)	309	0.997	310
Homo_279591-279771	sp|Q9NV31|IMP3_HUMAN	181	0.984	(1, 183)	182	0.989	184
Homo_325027-325236	sp|O95848|NUD14_HUMAN	138	0.622	(0, 151)	151	0.680	222
Homo_242359-242881	sp|Q9BUI4|RPC3_HUMAN	522	0.978	(0, 531)	531	0.994	534
Homo_18814-19061	sp|Q9GZN7|ROGDI_HUMAN	248	0.864	(6, 283)	277	0.965	287
Homo_161457-161787	sp|O95900|TRUB2_HUMAN	259	0.782	(58, 331)	273	0.825	331
Homo_83421-84363	sp|Q7Z2Z2|EFL1_HUMAN	122	0.109	(59, 243)	184	0.164	1120
Homo_225281-225400	sp|Q9UI30|TR112_HUMAN	116	0.928	(0, 122)	122	0.976	125
Homo_164179-164363	sp|Q07020|RL18_HUMAN	157	0.835	(0, 187)	187	0.995	188
Homo_334829-335467	sp|Q9UBZ9|REV1_HUMAN	96	0.077	(730, 1251)	521	0.416	1251
Homo_243169-243455	sp|P57076|CU059_HUMAN	111	0.381	(153, 291)	138	0.474	291
Homo_259945-260145	sp|O43513|MED7_HUMAN	201	0.863	(2, 229)	227	0.974	233
Homo_8336-8596	sp|Q96E29|MTEF3_HUMAN	173	0.415	(190, 417)	227	0.544	417
Homo_243456-243635	sp|Q9BY32|ITPA_HUMAN	144	0.742	(6, 192)	186	0.959	194
Homo_156021-156127	sp|Q9Y388|RBMX2_HUMAN	50	0.155	(6, 58)	52	0.161	322
Homo_296513-296659	sp|Q8TEA8|DTD1_HUMAN	146	0.699	(0, 147)	147	0.703	209
Homo_25932-26120	sp|Q96NB3|ZN830_HUMAN	189	0.508	(73, 371)	298	0.801	372
Homo_156845-157039	sp|P48047|ATPO_HUMAN	195	0.915	(12, 213)	201	0.944	213
Homo_71737-71912	sp|Q9H7X0|NAA60_HUMAN	86	0.355	(8, 99)	91	0.376	242
Homo_281207-281537	sp|O94822|LTN1_HUMAN	331	0.187	(78, 436)	358	0.203	1766
Homo_322539-322752	sp|Q96GX9|MTNB_HUMAN	214	0.884	(21, 236)	215	0.888	242
Homo_316081-316375	sp|O14972|DSCR3_HUMAN	249	0.838	(42, 297)	255	0.859	297
Homo_164364-164501	sp|P52298|NCBP2_HUMAN	85	0.545	(13, 151)	138	0.885	156
Homo_264526-264750	sp|O75864|PPR37_HUMAN	221	0.320	(110, 432)	322	0.466	691
Homo_145373-145615	sp|O94903|PLPHP_HUMAN	118	0.429	(81, 199)	118	0.429	275
Homo_287688-288026	sp|Q96RR1|PEO1_HUMAN	311	0.455	(259, 684)	425	0.621	684
Homo_301286-301563	sp|Q9Y2V0|CO041_HUMAN	277	0.986	(2, 281)	279	0.993	281
Homo_1012-1503	sp|Q02252|MMSA_HUMAN	492	0.920	(41, 534)	493	0.921	535
Homo_284262-284791	sp|Q92526|TCPW_HUMAN	492	0.928	(1, 530)	529	0.998	530
Homo_303040-303259	sp|O95249|GOSR1_HUMAN	220	0.880	(4, 250)	246	0.984	250
Homo_280396-281021	sp|Q9H330|TM245_HUMAN	404	0.443	(400, 845)	445	0.488	911
Homo_23753-23917	sp|Q96E22|NGBR_HUMAN	165	0.563	(95, 292)	197	0.672	293
Homo_267306-267543	sp|Q8WXX5|DNJC9_HUMAN	238	0.915	(0, 250)	250	0.962	260
Homo_254576-254811	sp|P15927|RFA2_HUMAN	236	0.874	(19, 267)	248	0.919	270
Homo_178882-179058	sp|P43308|SSRB_HUMAN	60	0.328	(0, 183)	183	1.000	183
Homo_217811-218345	sp|P49368|TCPG_HUMAN	493	0.905	(45, 545)	500	0.917	545
Homo_223145-223416	sp|O60921|HUS1_HUMAN	145	0.518	(21, 166)	145	0.518	280
Homo_353223-353564	sp|Q86U44|MTA70_HUMAN	342	0.590	(221, 577)	356	0.614	580
Homo_55275-55737	sp|Q8N465|D2HDH_HUMAN	138	0.265	(380, 518)	138	0.265	521
Homo_131971-132404	sp|Q9BZZ5|API5_HUMAN	423	0.807	(3, 444)	441	0.842	524
Homo_338754-339172	sp|Q5BKT4|AG10A_HUMAN	419	0.886	(10, 473)	463	0.979	473
Homo_131758-131970	sp|Q9H5V9|CX056_HUMAN	199	0.896	(0, 219)	219	0.986	222
Homo_312431-312557	sp|P55769|NH2L1_HUMAN	127	0.992	(1, 128)	127	0.992	128
Homo_287061-287483	sp|P37287|PIGA_HUMAN	422	0.872	(31, 458)	427	0.882	484
Homo_225401-225746	sp|P06132|DCUP_HUMAN	221	0.602	(8, 288)	280	0.763	367
Homo_211865-212178	sp|P82673|RT35_HUMAN	184	0.570	(1, 323)	322	0.997	323
Homo_341063-341330	sp|P23025|XPA_HUMAN	249	0.909	(2, 255)	253	0.923	274
Homo_290222-290483	sp|O95568|MET18_HUMAN	261	0.702	(1, 369)	368	0.989	372
Homo_382108-382563	sp|Q9BVI4|NOC4L_HUMAN	200	0.388	(77, 401)	324	0.628	516
Homo_98046-98437	sp|Q9BSU1|CP070_HUMAN	156	0.370	(22, 183)	161	0.382	422
Homo_294173-294346	sp|Q5W111|SPRY7_HUMAN	135	0.689	(0, 196)	196	1.000	196
Homo_200064-200244	sp|Q99497|PARK7_HUMAN	181	0.958	(4, 189)	185	0.979	189
Homo_361758-361936	sp|Q9ULC4|MCTS1_HUMAN	179	0.989	(2, 181)	179	0.989	181
Homo_332204-332521	sp|Q5TBB1|RNH2B_HUMAN	254	0.814	(0, 311)	311	0.997	312
Homo_229956-230228	sp|Q9NZD8|SPG21_HUMAN	148	0.481	(1, 150)	149	0.484	308
Homo_63940-64164	sp|Q96DC8|ECHD3_HUMAN	160	0.528	(73, 239)	166	0.548	303
Homo_211136-211308	sp|Q96G25|MED8_HUMAN	104	0.388	(89, 197)	108	0.403	268
Homo_32112-32380	sp|Q06265|EXOS9_HUMAN	239	0.544	(3, 439)	436	0.993	439
Homo_301564-301820	sp|Q8TC29|ENKUR_HUMAN	250	0.977	(5, 255)	250	0.977	256
Homo_205837-206154	sp|Q9Y315|DEOC_HUMAN	318	1.000	(0, 318)	318	1.000	318
Homo_288027-288778	sp|Q8TDD1|DDX54_HUMAN	746	0.847	(66, 857)	791	0.898	881
Homo_213610-214205	sp|Q9BTE3|MCMBP_HUMAN	596	0.928	(2, 637)	635	0.989	642
Homo_177841-178087	sp|Q9BTZ2|DHRS4_HUMAN	129	0.464	(28, 278)	250	0.899	278
Homo_310809-310950	sp|Q9UDX5|MTFP1_HUMAN	126	0.759	(6, 158)	152	0.916	166
Homo_218719-219031	sp|O14681|EI24_HUMAN	311	0.915	(1, 317)	316	0.929	340
Homo_190033-190211	sp|O14925|TIM23_HUMAN	144	0.689	(24, 206)	182	0.871	209
Homo_216945-217130	sp|Q9UL25|RAB21_HUMAN	186	0.827	(0, 222)	222	0.987	225
Homo_350471-350831	sp|Q9NW38|FANCL_HUMAN	290	0.773	(5, 360)	355	0.947	375
Homo_330768-330871	sp|P36954|RPB9_HUMAN	104	0.832	(17, 125)	108	0.864	125
Homo_223648-223938	sp|Q16342|PDCD2_HUMAN	87	0.253	(8, 317)	309	0.898	344
Homo_229056-229354	sp|P36551|HEM6_HUMAN	69	0.152	(372, 453)	81	0.178	454
Homo_337264-337512	sp|Q9BQ95|ECSIT_HUMAN	249	0.578	(81, 391)	310	0.719	431
Homo_125608-125797	sp|O00233|PSMD9_HUMAN	128	0.574	(15, 193)	178	0.798	223
Homo_253672-254319	sp|Q8N8A6|DDX51_HUMAN	615	0.923	(0, 658)	658	0.988	666
Homo_39673-40013	sp|P78406|RAE1L_HUMAN	63	0.171	(23, 87)	64	0.174	368
Homo_360534-360725	sp|Q53FT3|HIKES_HUMAN	192	0.975	(0, 197)	197	1.000	197
Homo_270331-270723	sp|O43929|ORC4_HUMAN	96	0.220	(23, 127)	104	0.239	436
Homo_322164-322352	sp|Q8WZA0|LZIC_HUMAN	189	0.995	(0, 190)	190	1.000	190
Homo_191828-192026	sp|P46782|RS5_HUMAN	199	0.975	(5, 204)	199	0.975	204
Homo_256271-256630	sp|Q53F39|MPPE1_HUMAN	312	0.788	(17, 396)	379	0.957	396
Homo_311554-311834	sp|Q7Z7C8|TAF8_HUMAN	277	0.894	(21, 306)	285	0.919	310
Homo_35070-36629	sp|Q9UPY3|DICER_HUMAN	584	0.304	(0, 1918)	1918	0.998	1922
Homo_226386-226810	sp|Q9UJW0|DCTN4_HUMAN	73	0.159	(143, 234)	91	0.198	460
Homo_314562-314786	sp|Q9H2W6|RM46_HUMAN	225	0.806	(44, 277)	233	0.835	279
Homo_21134-21266	sp|Q96FT9|IFT43_HUMAN	133	0.639	(50, 196)	146	0.702	208
Homo_351970-352173	sp|Q9BWT6|MND1_HUMAN	102	0.498	(15, 117)	102	0.498	205
Homo_120715-121180	sp|Q9NPI1|BRD7_HUMAN	79	0.121	(542, 621)	79	0.121	651
Homo_54328-54817	sp|Q14679|TTLL4_HUMAN	194	0.162	(669, 904)	235	0.196	1199
Homo_219032-219553	sp|O75191|XYLB_HUMAN	388	0.724	(137, 530)	393	0.733	536
Homo_296949-297205	sp|Q9Y3S2|ZN330_HUMAN	257	0.803	(1, 284)	283	0.884	320
Homo_137951-138430	sp|Q8NDH3|PEPL1_HUMAN	480	0.918	(2, 495)	493	0.943	523
Homo_379394-379683	sp|P23610|F8I2_HUMAN	288	0.776	(17, 363)	346	0.933	371
Homo_176288-176627	sp|Q8TD08|MK15_HUMAN	256	0.471	(3, 260)	257	0.472	544
Homo_241438-241660	sp|Q9BVK8|TM147_HUMAN	173	0.772	(49, 223)	174	0.777	224
Homo_164764-165251	sp|O43172|PRP4_HUMAN	487	0.933	(15, 522)	507	0.971	522
Homo_168842-169395	sp|P49959|MRE11_HUMAN	219	0.309	(2, 221)	219	0.309	708
Homo_58103-58779	sp|Q04446|GLGB_HUMAN	658	0.937	(0, 699)	699	0.996	702
Homo_158604-160021	sp|O75417|DPOLQ_HUMAN	1408	0.544	(64, 2586)	2522	0.974	2590
Homo_262130-262400	sp|Q330K2|NDUF6_HUMAN	159	0.477	(152, 333)	181	0.544	333
Homo_135993-136294	sp|Q969S0|S35B4_HUMAN	132	0.399	(0, 331)	331	1.000	331
Homo_52336-52801	sp|O00567|NOP56_HUMAN	466	0.785	(3, 485)	482	0.811	594
Homo_310212-310588	sp|Q5TFE4|NT5D1_HUMAN	107	0.235	(87, 455)	368	0.809	455
Homo_40681-41083	sp|Q96IJ6|GMPPA_HUMAN	403	0.960	(0, 420)	420	1.000	420
Homo_238709-238888	sp|Q9BTE1|DCTN5_HUMAN	52	0.286	(1, 153)	152	0.835	182
Homo_308248-308741	sp|Q15061|WDR43_HUMAN	490	0.724	(37, 625)	588	0.869	677
Homo_36630-37235	sp|Q9H4L7|SMRCD_HUMAN	606	0.591	(388, 1026)	638	0.622	1026
Homo_210677-211135	sp|Q9BRS2|RIOK1_HUMAN	457	0.805	(56, 564)	508	0.894	568
Homo_239230-239455	sp|P49247|RPIA_HUMAN	226	0.727	(77, 306)	229	0.736	311
Homo_171638-171984	sp|Q96G46|DUS3L_HUMAN	346	0.532	(299, 649)	350	0.538	650
Homo_81161-81391	sp|P55061|BI1_HUMAN	91	0.384	(5, 96)	91	0.384	237
Homo_169961-170280	sp|Q8WVM0|TFB1M_HUMAN	319	0.922	(6, 327)	321	0.928	346
Homo_81392-81950	sp|O60508|PRP17_HUMAN	510	0.881	(4, 530)	526	0.908	579
Homo_347503-348334	sp|Q9UJA3|MCM8_HUMAN	180	0.214	(7, 834)	827	0.985	840
Homo_226954-227144	sp|Q96BW1|UPP_HUMAN	191	0.618	(0, 309)	309	1.000	309
Homo_91287-91831	sp|P78344|IF4G2_HUMAN	541	0.596	(206, 902)	696	0.767	907
Homo_121181-121522	sp|P14324|FPPS_HUMAN	342	0.816	(72, 419)	347	0.828	419
Homo_248342-248604	sp|A8MXV4|NUD19_HUMAN	263	0.701	(6, 308)	302	0.805	375
Homo_45846-46369	sp|Q93100|KPBB_HUMAN	524	0.479	(55, 610)	555	0.508	1093
Homo_80067-80187	sp|O15212|PFD6_HUMAN	121	0.938	(1, 122)	121	0.938	129
Homo_377303-377413	sp|O60925|PFD1_HUMAN	108	0.885	(9, 117)	108	0.885	122
Homo_175243-175628	sp|Q12887|COX10_HUMAN	226	0.510	(217, 443)	226	0.510	443
Homo_305404-305799	sp|Q96DV4|RM38_HUMAN	196	0.516	(184, 380)	196	0.516	380
Homo_86118-86337	sp|Q96AT9|RPE_HUMAN	154	0.675	(68, 222)	154	0.675	228
Homo_341544-342455	sp|O43156|TTI1_HUMAN	911	0.837	(5, 1087)	1082	0.994	1089
Homo_309741-310211	sp|Q86TW2|ADCK1_HUMAN	471	0.889	(36, 516)	480	0.906	530
Homo_383089-383287	sp|Q9H8E8|CSR2B_HUMAN	199	0.254	(573, 782)	209	0.267	782
Homo_185684-186135	sp|Q96RS6|NUDC1_HUMAN	441	0.756	(0, 579)	579	0.993	583
Homo_309531-309740	sp|P19388|RPAB1_HUMAN	210	1.000	(0, 210)	210	1.000	210
Homo_311835-312084	sp|Q8N8Q8|COX18_HUMAN	250	0.751	(62, 323)	261	0.784	333
Homo_363478-363599	sp|P56556|NDUA6_HUMAN	122	0.792	(31, 153)	122	0.792	154
Homo_203561-204017	sp|Q92521|PIGB_HUMAN	188	0.339	(59, 265)	206	0.372	554
Homo_180732-180956	sp|Q70Z53|F10C1_HUMAN	225	0.714	(67, 315)	248	0.787	315
Homo_123612-123847	sp|Q15070|OXA1L_HUMAN	236	0.543	(109, 350)	241	0.554	435
Homo_237596-237744	sp|Q01658|NC2B_HUMAN	149	0.847	(3, 152)	149	0.847	176
Homo_378245-378670	sp|Q92917|GPKOW_HUMAN	413	0.868	(13, 471)	458	0.962	476
Homo_186316-186520	sp|Q15526|SURF1_HUMAN	205	0.683	(67, 278)	211	0.703	300
Homo_9573-10050	sp|Q6ZNE5|BAKOR_HUMAN	476	0.967	(0, 491)	491	0.998	492
Homo_261029-261379	sp|Q9Y312|AAR2_HUMAN	351	0.914	(5, 377)	372	0.969	384
Homo_363789-364013	sp|Q9NPJ6|MED4_HUMAN	211	0.781	(0, 260)	260	0.963	270
Homo_369171-369562	sp|Q6ZSS7|MFSD6_HUMAN	391	0.494	(64, 611)	547	0.692	791
Homo_327481-327633	sp|O75947|ATP5H_HUMAN	129	0.801	(1, 156)	155	0.963	161
Homo_272901-273112	sp|Q96BR5|COA7_HUMAN	212	0.918	(3, 221)	218	0.944	231
Homo_105299-105836	sp|Q8IYL2|TRM44_HUMAN	348	0.460	(0, 757)	757	1.000	757
Homo_33559-33764	sp|Q9NQT4|EXOS5_HUMAN	206	0.877	(28, 235)	207	0.881	235
Homo_232513-233113	sp|Q9UNN5|FAF1_HUMAN	597	0.918	(4, 649)	645	0.992	650
Homo_202884-203271	sp|Q96Q11|TRNT1_HUMAN	368	0.848	(29, 433)	404	0.931	434
Homo_37747-37989	sp|Q96H72|S39AD_HUMAN	190	0.494	(61, 371)	310	0.805	385
